;TP_SEXO;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;CO_MUNICIPIO_ESC;Q001;Q002;Q003;Q004;Q022;Q024;Q025;RendaMaxima;ClasseSocial;anosEstudoPai;anosEstudoMae;RazaoPessoasQuarto;PessoasPorQuarto;mediaNota;NOTA_MT;NOTA_LC;NOTA_CH;NOTA_CN;NOTA_REDACAO;Cluster
546;M;Preta;Estadual;Urbano;486.2;464.0;380.8;403.3;400.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;5;12;1.33;(1, 2];426.86;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
547;F;Parda;Estadual;Urbano;385.2;458.3;506.1;407.3;280.0;2211001.0;Medio;FundamentalCompleto;NãoSabe;NãoSabe;Sim;Sim;Sim;0;E;12;9;2.5;(2, 3];407.38;(300, 500];(500, 650];(300, 500];(300, 500];(-0.001, 300.0];1
548;M;Preta;Estadual;Urbano;376.1;353.5;380.3;496.8;440.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);NãoSabe;Sim;Não;Sim;998;E;9;5;2.0;(1, 2];409.34;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
549;F;Parda;Estadual;Urbano;510.2;589.0;583.4;543.3;560.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1996;E;5;12;2.5;(2, 3];557.18;(500, 650];(500, 650];(500, 650];(500, 650];(500.0, 650.0];0
550;M;Branco;Particular;Urbano;492.7;556.1;555.9;667.9;940.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;2994;D;16;18;1.33;(1, 2];642.52;(650, 800];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
551;F;Preta;Estadual;Urbano;461.1;383.1;482.4;538.1;800.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;8982;C;16;16;1.67;(1, 2];532.9399999999998;(500, 650];(300, 500];(300, 500];(300, 500];(650.0, 800.0];1
552;F;Parda;Estadual;Urbano;459.0;379.1;356.3;438.4;340.0;2211001.0;NaoSabe;FundamentalIncompleto;NãoSabe;Grupo(A,B,C);Sim;Não;Sim;998;E;0;0;2.0;(1, 2];394.56000000000006;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
553;F;Preta;Estadual;Urbano;391.5;412.3;534.5;385.1;480.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;4;4;2.0;(1, 2];440.68;(300, 500];(500, 650];(300, 500];(300, 500];(300.0, 500.0];1
554;M;Parda;Estadual;Urbano;486.7;491.1;445.7;569.1;560.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;0;E;4;4;5.0;(4, 20];510.52;(500, 650];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
555;F;Preta;Estadual;Urbano;403.5;384.4;461.0;503.2;440.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;998;E;5;0;1.33;(1, 2];438.42;(500, 650];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
556;M;Parda;Estadual;Urbano;494.5;564.7;561.3;415.1;960.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;4;2.0;(1, 2];599.12;(300, 500];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
557;M;Parda;Particular;Urbano;544.3;469.9;523.6;478.2;660.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2994;D;12;12;1.33;(1, 2];535.2;(300, 500];(500, 650];(300, 500];(500, 650];(650.0, 800.0];1
558;F;Branco;Particular;Urbano;518.1;590.7;610.6;695.7;780.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;11976;B;18;16;1.0;(0, 1];639.02;(650, 800];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
559;F;Preta;Estadual;Urbano;518.7;576.2;647.9;549.0;840.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;4;4;3.0;(2, 3];626.36;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
560;F;Parda;Particular;Urbano;601.0;621.7;576.7;703.4;960.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;2994;D;18;12;1.0;(0, 1];692.5600000000002;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
561;F;Parda;Estadual;Urbano;391.1;458.1;460.7;412.1;500.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;4;9;2.0;(1, 2];444.4;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
562;F;Parda;Federal;Urbano;537.0;615.8;563.3;617.7;880.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;5;12;1.67;(1, 2];642.76;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
563;M;Branco;Particular;Urbano;710.6;668.6;647.3;943.6;940.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Não;Sim;5988;C;18;18;1.33;(1, 2];782.02;(800, 1000];(500, 650];(650, 800];(650, 800];(800.0, 1000.0];0
564;M;Parda;Estadual;Urbano;493.2;498.3;517.8;447.7;600.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;5;4;3.0;(2, 3];511.4;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
565;F;Parda;Particular;Urbano;474.9;508.4;581.8;646.9;780.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;2994;D;18;12;2.0;(1, 2];598.4;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
566;F;Parda;Estadual;Urbano;551.6;593.3;554.4;411.6;580.0;2211001.0;NaoSabe;FundamentalIncompleto;NãoSabe;Grupo(A,B,C);Sim;Não;Nao;0;E;0;5;5.0;(4, 20];538.18;(300, 500];(500, 650];(500, 650];(500, 650];(500.0, 650.0];0
567;M;Preta;Estadual;Urbano;522.6;517.3;518.5;472.1;760.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;12;12;5.0;(4, 20];558.1;(300, 500];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
568;F;Parda;Estadual;Urbano;456.6;462.9;514.4;405.3;620.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;5;5;4.0;(3, 4];491.84;(300, 500];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
